web_name,first_name,second_name,team,position,total_points,points_per_game,price,price_level,goals_scored,assists,ict_index,selected_by_percent,minutes,bonus,clean_sheets,clean_sheets_per_90,creativity,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,goals_conceded,goals_conceded_per_90,influence,own_goals,penalties_missed,penalties_order,penalties_saved,red_cards,saves,saves_per_90,selected_rank,starts,starts_per_90,threat,value_form,value_season,yellow_cards,goal_involvements
Gabriel,Gabriel,dos Santos Magalhães,ARS,Defender,146.0,3.8,5.2,High,3.0,0.0,126.5,13.4,3409.0,15.0,14.0,0.37,129.7,0.66,0.02,5.7,0.15,5.04,41.84,1.1,0.13,43.0,1.14,733.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,38.0,1.0,401.0,0.7,28.1,5.0,3.0
Tavares,Nuno,Varela Tavares,ARS,Defender,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinelli,Gabriel,Martinelli Silva,ARS,Midfielder,198.0,5.5,6.5,Mid,15.0,9.0,298.1,26.3,2789.0,18.0,14.0,0.45,838.1,6.98,0.23,16.13,0.53,9.15,36.16,1.17,0.3,33.0,1.06,844.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,34.0,1.1,1300.0,0.2,30.5,3.0,24.0
Pablo Marí,Pablo,Marí Villar,ARS,Defender,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torreira,Lucas,Torreira di Pascua,ARS,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nelson,Reiss,Nelson,ARS,Midfielder,42.0,3.8,4.7,Budget,3.0,3.0,42.4,0.0,202.0,5.0,1.0,0.45,99.2,0.99,0.44,2.08,0.93,1.09,2.16,0.96,0.49,3.0,1.34,169.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,0.0,155.0,0.2,8.9,0.0,6.0
Turner,Matt,Turner,ARS,Goalkeeper,0.0,0.0,3.8,Budget,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fábio Vieira,Fábio,Ferreira Vieira,ARS,Midfielder,40.0,1.8,5.6,Mid,1.0,2.0,41.4,0.1,500.0,2.0,2.0,0.36,180.1,1.39,0.25,2.25,0.4,0.86,5.28,0.95,0.15,5.0,0.9,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,3.0,0.54,123.0,0.1,7.1,0.0,3.0
Saliba,William,Saliba,ARS,Defender,117.0,4.3,4.9,Mid,2.0,1.0,74.5,15.6,2415.0,14.0,12.0,0.45,100.8,0.32,0.01,1.23,0.04,0.91,26.86,1.0,0.03,25.0,0.93,529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,1.01,114.0,0.0,23.9,4.0,3.0
Marquinhos,Marcus,Oliveira Alencar,ARS,Midfielder,1.0,1.0,4.6,Budget,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Jesus,Gabriel,Fernando de Jesus,ARS,Forward,125.0,4.8,8.1,Premium,11.0,7.0,228.3,28.3,2064.0,17.0,9.0,0.39,407.3,2.91,0.13,17.15,0.75,14.24,23.15,1.01,0.62,23.0,1.0,594.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,24.0,1.05,1282.0,0.6,15.4,6.0,18.0
Trossard,Leandro,Trossard,ARS,Midfielder,154.0,4.3,6.6,High,8.0,13.0,216.6,7.2,2237.0,8.0,8.0,0.32,687.1,6.02,0.24,12.39,0.5,6.37,30.79,1.24,0.26,38.0,1.53,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,26.0,1.05,859.0,0.5,23.3,1.0,21.0
Jorginho,Jorge Luiz,Frello Filho,ARS,Midfielder,79.0,2.5,5.7,Mid,2.0,2.0,73.9,1.9,2127.0,5.0,9.0,0.38,254.1,0.96,0.04,2.85,0.12,1.89,24.41,1.03,0.08,23.0,0.97,386.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,24.0,1.02,97.0,0.5,13.9,4.0,4.0
Zinchenko,Oleksandr,Zinchenko,ARS,Defender,99.0,3.7,5.0,Mid,1.0,2.0,98.3,9.0,2122.0,8.0,10.0,0.42,387.7,2.39,0.1,3.71,0.16,1.32,26.67,1.13,0.06,28.0,1.19,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,1.1,190.0,0.3,19.8,3.0,3.0
Smith,Matthew,Smith,ARS,Midfielder,0.0,0.0,4.4,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nwaneri,Ethan,Nwaneri,ARS,Midfielder,1.0,1.0,4.5,Budget,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Sousa,Lino,Sousa,ARS,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,Karl,Hein,ARS,Goalkeeper,0.0,0.0,3.9,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cozier-Duberry,Amario,Cozier-Duberry,ARS,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Butler-Oyedeji,Nathan,Butler-Oyedeji,ARS,Forward,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiwior,Jakub,Kiwior,ARS,Defender,26.0,3.7,4.0,Budget,1.0,0.0,6.3,0.3,425.0,1.0,2.0,0.42,4.1,0.01,0.0,0.11,0.02,0.1,6.46,1.37,0.02,6.0,1.27,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,5.0,1.06,4.0,1.2,6.5,0.0,1.0
Walters,Reuell,Walters,ARS,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bandeira,Mauro,Bandeira,ARS,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coutinho,Philippe,Coutinho Correia,AVL,Midfielder,32.0,1.6,6.6,High,1.0,0.0,48.8,2.9,777.0,1.0,3.0,0.35,152.5,0.65,0.08,2.02,0.24,1.37,8.11,0.94,0.16,9.0,1.04,119.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,115.0,7.0,0.81,218.0,0.0,4.8,3.0,1.0
Martínez,Emiliano,Martínez Romero,AVL,Goalkeeper,135.0,3.8,5.0,High,0.0,0.0,83.5,6.6,3139.0,15.0,11.0,0.32,23.0,0.21,0.01,0.21,0.01,0.0,43.46,1.25,0.0,38.0,1.09,813.0,1.0,0.0,0.0,1.0,0.0,98.0,2.81,58.0,36.0,1.03,0.0,0.5,27.0,7.0,0.0
Chambers,Calum,Chambers,AVL,Defender,13.0,0.9,4.2,Budget,0.0,0.0,11.1,0.2,345.0,0.0,0.0,0.0,29.8,0.19,0.05,0.33,0.09,0.14,5.88,1.53,0.04,4.0,1.04,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,2.0,0.52,8.0,0.0,3.1,2.0,0.0
Digne,Lucas,Digne,AVL,Defender,50.0,1.8,4.5,Budget,1.0,0.0,65.8,1.2,1492.0,4.0,3.0,0.18,293.3,1.9,0.11,2.33,0.14,0.43,25.91,1.56,0.03,25.0,1.51,271.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,18.0,1.09,92.0,0.2,11.1,5.0,1.0
Traoré,Bertrand,Traoré,AVL,Midfielder,20.0,2.5,4.9,Budget,2.0,0.0,19.0,0.1,226.0,1.0,1.0,0.4,30.7,0.12,0.05,0.87,0.35,0.75,1.65,0.66,0.3,1.0,0.4,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,1.0,0.4,79.0,0.1,4.1,1.0,2.0
Olsen,Robin,Olsen,AVL,Goalkeeper,10.0,2.5,3.9,Budget,0.0,0.0,8.2,1.4,280.0,1.0,1.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,8.56,2.75,0.0,8.0,2.57,83.2,0.0,0.0,0.0,0.0,0.0,11.0,3.54,164.0,2.0,0.64,0.0,0.0,2.6,0.0,0.0
Sanson,Morgan,Sanson,AVL,Midfielder,2.0,1.0,4.3,Budget,0.0,0.0,0.4,0.2,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,3.6,0.0,1.0,9.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
McGinn,John,McGinn,AVL,Midfielder,90.0,2.6,5.1,Budget,1.0,5.0,105.1,0.6,2692.0,3.0,10.0,0.33,349.2,3.33,0.11,5.73,0.19,2.4,37.73,1.26,0.08,31.0,1.04,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,30.0,1.0,326.0,0.3,17.6,7.0,6.0
Hause,Kortney,Hause,AVL,Defender,0.0,0.0,4.4,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mings,Tyrone,Mings,AVL,Defender,130.0,3.7,4.7,Mid,1.0,3.0,87.0,12.5,3150.0,17.0,12.0,0.34,87.7,0.95,0.03,1.91,0.06,0.96,47.28,1.35,0.03,40.0,1.14,657.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.0,1.0,121.0,0.3,27.7,7.0,4.0
Watkins,Ollie,Watkins,AVL,Forward,175.0,4.7,7.3,High,15.0,8.0,247.0,12.8,3129.0,25.0,13.0,0.37,408.5,2.66,0.08,18.81,0.54,16.15,46.65,1.34,0.46,40.0,1.15,792.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,36.0,1.04,1268.0,0.4,24.0,4.0,23.0
Nakamba,Marvelous,Nakamba,AVL,Midfielder,0.0,0.0,4.3,Budget,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buendía,Emiliano,Buendía Stati,AVL,Midfielder,117.0,3.1,5.7,Mid,5.0,3.0,156.6,0.7,2404.0,8.0,11.0,0.41,546.3,3.95,0.15,10.27,0.39,6.32,36.65,1.37,0.24,34.0,1.27,438.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,27.0,1.01,580.0,0.3,20.5,0.0,8.0
Cash,Matty,Cash,AVL,Defender,57.0,2.2,4.6,Mid,0.0,2.0,54.4,3.1,1817.0,3.0,4.0,0.2,178.0,0.95,0.05,1.15,0.06,0.2,27.14,1.34,0.01,29.0,1.44,298.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,20.0,0.99,67.0,0.2,12.4,4.0,2.0
Konsa,Ezri,Konsa Ngoyo,AVL,Defender,110.0,2.9,4.4,Budget,0.0,0.0,74.9,1.0,3322.0,6.0,12.0,0.33,116.1,0.71,0.02,1.79,0.05,1.08,50.67,1.37,0.03,45.0,1.22,560.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,37.0,1.0,72.0,0.4,25.0,6.0,0.0
Bailey,Leon,Bailey,AVL,Midfielder,100.0,3.0,4.3,Budget,4.0,5.0,130.1,2.7,1964.0,6.0,8.0,0.37,439.1,4.77,0.22,10.11,0.46,5.34,35.15,1.61,0.24,32.0,1.47,334.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,26.0,1.19,532.0,0.5,23.3,4.0,9.0
Douglas Luiz,Douglas Luiz,Soares de Paulo,AVL,Midfielder,142.0,3.8,4.8,Budget,6.0,7.0,155.8,1.0,2922.0,17.0,13.0,0.4,655.4,2.92,0.09,5.71,0.18,2.79,42.8,1.32,0.09,35.0,1.08,661.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,193.0,33.0,1.02,242.0,1.2,29.6,6.0,13.0
Ramsey,Jacob,Ramsey,AVL,Midfielder,135.0,3.9,5.1,Budget,6.0,8.0,152.8,1.5,2634.0,13.0,11.0,0.38,496.7,2.89,0.1,7.96,0.27,5.07,40.5,1.38,0.17,33.0,1.13,607.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,31.0,1.06,424.0,1.1,26.5,5.0,14.0
Iroegbunam,Tim,Iroegbunam,AVL,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Carlos,Diego Carlos,Santos Silva,AVL,Defender,4.0,1.3,4.7,Mid,0.0,0.0,7.0,0.2,205.0,0.0,0.0,0.0,13.2,0.11,0.05,0.47,0.21,0.36,1.92,0.84,0.16,3.0,1.32,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,2.0,0.88,32.0,0.0,0.9,0.0,0.0
El Ghazi,Anwar,El Ghazi,AVL,Midfielder,0.0,0.0,4.8,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis,Keinan,Davis,AVL,Forward,0.0,0.0,5.4,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamara,Boubacar,Kamara,AVL,Midfielder,44.0,1.8,4.8,Budget,0.0,1.0,43.9,0.1,1773.0,0.0,3.0,0.15,123.4,0.92,0.05,1.07,0.06,0.15,33.05,1.68,0.01,30.0,1.52,275.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,21.0,1.07,39.0,0.3,9.2,4.0,1.0
Archer,Cameron,Archer,AVL,Forward,6.0,1.0,4.2,Budget,0.0,0.0,0.9,1.7,43.0,0.0,0.0,0.0,2.4,0.01,0.02,0.01,0.02,0.0,0.37,0.77,0.0,1.0,2.09,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,6.0,0.0,1.4,0.0,0.0
Philogene-Bidace,Jaden,Philogene-Bidace,AVL,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guilbert,Frédéric,Guilbert,AVL,Defender,0.0,0.0,3.9,Budget,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dendoncker,Leander,Dendoncker,AVL,Midfielder,37.0,1.5,4.7,Budget,0.0,0.0,30.6,0.1,897.0,0.0,4.0,0.4,96.1,0.14,0.01,0.86,0.08,0.72,14.68,1.47,0.07,14.0,1.4,143.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,9.0,0.9,64.0,0.1,7.9,0.0,0.0
Augustinsson,Ludwig,Augustinsson,AVL,Defender,2.0,0.7,4.3,Budget,0.0,0.0,4.2,0.0,76.0,0.0,0.0,0.0,1.9,0.01,0.01,0.09,0.1,0.08,0.74,0.88,0.09,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1.0,1.18,35.0,0.0,0.5,1.0,0.0
Kesler Hayden,Kaine,Kesler Hayden,AVL,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Young,Ashley,Young,AVL,Defender,87.0,3.0,4.3,Budget,1.0,0.0,68.7,0.8,2031.0,8.0,9.0,0.4,223.4,0.78,0.03,1.24,0.05,0.46,31.81,1.41,0.02,28.0,1.24,380.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,23.0,1.02,81.0,0.2,20.2,7.0,1.0
Bogarde,Lamare,Bogarde,AVL,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marschall,Filip,Marschall,AVL,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kadan Young,Kadan,Young,AVL,Midfielder,0.0,0.0,4.5,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Moreno,Alexandre,Moreno Lopera,AVL,Defender,72.0,3.8,4.5,Budget,0.0,3.0,72.3,2.1,1325.0,5.0,7.0,0.48,321.1,2.57,0.17,3.16,0.21,0.59,17.83,1.21,0.04,10.0,0.68,254.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,14.0,0.95,151.0,0.3,16.0,3.0,3.0
Sinisalo,Viljami,Sinisalo,AVL,Goalkeeper,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Durán,Jhon,Durán,AVL,Forward,11.0,0.9,5.5,Budget,0.0,0.0,7.4,0.0,126.0,0.0,0.0,0.0,13.4,0.02,0.01,0.61,0.43,0.59,3.88,2.77,0.42,4.0,2.86,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,0.0,0.0,51.0,0.1,2.0,1.0,0.0
Swinkels,Sil,Swinkels,AVL,Defender,0.0,0.0,4.0,Budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
